restaurant_id,featureForExcel
4627.0,비즈니스 다이닝에 좋은
4627.0,상견례에 좋은
4627.0,스타 셰프가 운영하는
4627.0,인테리어가 좋은
4627.0,호텔 레스토랑
4627.0,연중무휴
4627.0,파인 다이닝을 할 수 있는
4627.0,분위기가 좋은
4627.0,프라이빗룸이 있는
4627.0,주차 가능
4627.0,코카-콜라 레드리본 맛집
29083.0,결혼기념일에 가면 좋은
29083.0,비즈니스 다이닝에 좋은
29083.0,연인과 같이 가면 좋은
29083.0,프러포즈 하기 좋은
29083.0,스타 셰프가 운영하는
29083.0,인테리어가 좋은
29083.0,연중무휴
29083.0,파인 다이닝을 할 수 있는
29083.0,분위기가 좋은
29083.0,모던/스타일리시
29083.0,프라이빗룸이 있는
29083.0,주차 가능
28946.0,결혼기념일에 가면 좋은
28946.0,비즈니스 다이닝에 좋은
28946.0,연인과 같이 가면 좋은
28946.0,프러포즈 하기 좋은
28946.0,스타 셰프가 운영하는
28946.0,전망이 좋은
28946.0,파인 다이닝을 할 수 있는
28946.0,분위기가 좋은
28946.0,주차 가능
4963.0,가족과 외식하기 좋은
4963.0,비즈니스 다이닝에 좋은
4963.0,상견례에 좋은
4963.0,외국인 접대에 좋은
4963.0,와인 리스트가 좋은
4963.0,인테리어가 좋은
4963.0,전망이 좋은
4963.0,정원이나 산책로가 있는
4963.0,호텔 레스토랑
4963.0,연중무휴
4963.0,파인 다이닝을 할 수 있는
4963.0,분위기가 좋은
4963.0,전통 한옥 재현
4963.0,프라이빗룸이 있는
4963.0,주차 가능
4963.0,코카-콜라 레드리본 맛집
859.0,결혼기념일에 가면 좋은
859.0,비즈니스 다이닝에 좋은
859.0,프러포즈 하기 좋은
859.0,와인 리스트가 좋은
859.0,전망이 좋은
859.0,호텔 레스토랑
859.0,연중무휴
859.0,파인 다이닝을 할 수 있는
859.0,분위기가 좋은
859.0,모던/스타일리시
859.0,주차 가능
27144.0,결혼기념일에 가면 좋은
27144.0,비즈니스 다이닝에 좋은
27144.0,연인과 같이 가면 좋은
27144.0,외국인 접대에 좋은
27144.0,프러포즈 하기 좋은
27144.0,스타 셰프가 운영하는
27144.0,와인 리스트가 좋은
27144.0,인테리어가 좋은
27144.0,전망이 좋은
27144.0,파인 다이닝을 할 수 있는
27144.0,분위기가 좋은
27144.0,모던/스타일리시
27144.0,프라이빗룸이 있는
27144.0,발레 파킹
26944.0,결혼기념일에 가면 좋은
26944.0,비즈니스 다이닝에 좋은
26944.0,연인과 같이 가면 좋은
26944.0,외국인 접대에 좋은
26944.0,프러포즈 하기 좋은
26944.0,스타 셰프가 운영하는
26944.0,와인 리스트가 좋은
26944.0,인테리어가 좋은
26944.0,파인 다이닝을 할 수 있는
26944.0,분위기가 좋은
26944.0,모던/스타일리시
26944.0,프라이빗룸이 있는
26944.0,주차 가능
30639.0,결혼기념일에 가면 좋은
30639.0,비즈니스 다이닝에 좋은
30639.0,상견례에 좋은
30639.0,인테리어가 좋은
30639.0,파인 다이닝을 할 수 있는
30639.0,분위기가 좋은
30639.0,모던/스타일리시
30639.0,프라이빗룸이 있는
30639.0,발레 파킹
952.0,가족과 외식하기 좋은
952.0,비즈니스 다이닝에 좋은
952.0,상견례에 좋은
952.0,역사가 오래된
952.0,외국인 접대에 좋은
952.0,인테리어가 좋은
952.0,정원이나 산책로가 있는
952.0,분위기가 좋은
952.0,전통 한옥 리뉴얼
952.0,프라이빗룸이 있는
952.0,스몰웨딩을 할 수 있는
952.0,주차 가능
29427.0,결혼기념일에 가면 좋은
29427.0,연인과 같이 가면 좋은
29427.0,저녁에만 영업하는
29427.0,파인 다이닝을 할 수 있는
29427.0,일본풍
29427.0,프라이빗룸이 있는
29427.0,발레 파킹
29427.0,카운터 석이 있는
32353.0,결혼기념일에 가면 좋은
32353.0,프러포즈 하기 좋은
32353.0,스타 셰프가 운영하는
32353.0,파인 다이닝을 할 수 있는
32353.0,분위기가 좋은
32353.0,발레 파킹
32915.0,결혼기념일에 가면 좋은
32915.0,비즈니스 다이닝에 좋은
32915.0,외국인 접대에 좋은
32915.0,인테리어가 좋은
32915.0,전망이 좋은
32915.0,연중무휴
32915.0,파인 다이닝을 할 수 있는
32915.0,분위기가 좋은
32915.0,모던/스타일리시
32915.0,프라이빗룸이 있는
32915.0,발레 파킹
32608.0,결혼기념일에 가면 좋은
32608.0,비즈니스 다이닝에 좋은
32608.0,연인과 같이 가면 좋은
32608.0,인테리어가 좋은
32608.0,저녁에만 영업하는
32608.0,파인 다이닝을 할 수 있는
32608.0,분위기가 좋은
32608.0,모던/스타일리시
32608.0,발레 파킹
31886.0,결혼기념일에 가면 좋은
31886.0,비즈니스 다이닝에 좋은
31886.0,연인과 같이 가면 좋은
31886.0,프러포즈 하기 좋은
31886.0,스타 셰프가 운영하는
31886.0,와인 리스트가 좋은
31886.0,인테리어가 좋은
31886.0,전망이 좋은
31886.0,파인 다이닝을 할 수 있는
31886.0,분위기가 좋은
31886.0,전통주 리스트가 좋은
31886.0,프라이빗룸이 있는
31886.0,발레 파킹
31886.0,클래식
31432.0,결혼기념일에 가면 좋은
31432.0,비즈니스 다이닝에 좋은
31432.0,프러포즈 하기 좋은
31432.0,미술 작품이 있는
31432.0,인테리어가 좋은
31432.0,파인 다이닝을 할 수 있는
31432.0,프라이빗룸이 있는
31432.0,주차 가능
31431.0,결혼기념일에 가면 좋은
31431.0,비즈니스 다이닝에 좋은
31431.0,프러포즈 하기 좋은
31431.0,스타 셰프가 운영하는
31431.0,인테리어가 좋은
31431.0,파인 다이닝을 할 수 있는
31431.0,분위기가 좋은
31431.0,모던/스타일리시
31431.0,프라이빗룸이 있는
31431.0,발레 파킹
31431.0,카운터 석이 있는
30988.0,가족과 외식하기 좋은
30988.0,결혼기념일에 가면 좋은
30988.0,비즈니스 다이닝에 좋은
30988.0,상견례에 좋은
30988.0,연인과 같이 가면 좋은
30988.0,외국인 접대에 좋은
30988.0,인테리어가 좋은
30988.0,연중무휴
30988.0,분위기가 좋은
30988.0,모던/스타일리시
30988.0,프라이빗룸이 있는
30988.0,주차 가능
29567.0,결혼기념일에 가면 좋은
29567.0,비즈니스 다이닝에 좋은
29567.0,연인과 같이 가면 좋은
29567.0,프러포즈 하기 좋은
29567.0,스타 셰프가 운영하는
29567.0,와인 리스트가 좋은
29567.0,인테리어가 좋은
29567.0,호텔 레스토랑
29567.0,파인 다이닝을 할 수 있는
29567.0,분위기가 좋은
29567.0,주차 가능
29567.0,클래식
29464.0,결혼기념일에 가면 좋은
29464.0,비즈니스 다이닝에 좋은
29464.0,상견례에 좋은
29464.0,연인과 같이 가면 좋은
29464.0,외국인 접대에 좋은
29464.0,프러포즈 하기 좋은
29464.0,스타 셰프가 운영하는
29464.0,인테리어가 좋은
29464.0,전망이 좋은
29464.0,파인 다이닝을 할 수 있는
29464.0,분위기가 좋은
29464.0,모던/스타일리시
29464.0,전통주 리스트가 좋은
29464.0,주차 가능
29464.0,카운터 석이 있는
29243.0,결혼기념일에 가면 좋은
29243.0,비즈니스 다이닝에 좋은
29243.0,연인과 같이 가면 좋은
29243.0,프러포즈 하기 좋은
29243.0,스타 셰프가 운영하는
29243.0,인테리어가 좋은
29243.0,파인 다이닝을 할 수 있는
29243.0,분위기가 좋은
29243.0,모던/스타일리시
29243.0,프라이빗룸이 있는
29243.0,발레 파킹
29206.0,연인과 같이 가면 좋은
29206.0,사케 리스트가 좋은
29206.0,스타 셰프가 운영하는
29206.0,저녁에만 영업하는
29206.0,파인 다이닝을 할 수 있는
29206.0,모던/스타일리시
29206.0,발레 파킹
29206.0,카운터 석이 있는
28236.0,결혼기념일에 가면 좋은
28236.0,비즈니스 다이닝에 좋은
28236.0,외국인 접대에 좋은
28236.0,파인 다이닝을 할 수 있는
28236.0,프라이빗룸이 있는
28236.0,발레 파킹
28236.0,코카-콜라 레드리본 맛집
28229.0,결혼기념일에 가면 좋은
28229.0,비즈니스 다이닝에 좋은
28229.0,연인과 같이 가면 좋은
28229.0,프러포즈 하기 좋은
28229.0,스타 셰프가 운영하는
28229.0,인테리어가 좋은
28229.0,파인 다이닝을 할 수 있는
28229.0,분위기가 좋은
28229.0,모던/스타일리시
28229.0,프라이빗룸이 있는
28229.0,발레 파킹
28167.0,결혼기념일에 가면 좋은
28167.0,비즈니스 다이닝에 좋은
28167.0,연인과 같이 가면 좋은
28167.0,외국인 접대에 좋은
28167.0,프러포즈 하기 좋은
28167.0,스타 셰프가 운영하는
28167.0,와인 리스트가 좋은
28167.0,인테리어가 좋은
28167.0,전망이 좋은
28167.0,파인 다이닝을 할 수 있는
28167.0,분위기가 좋은
28167.0,모던/스타일리시
28167.0,전통주 리스트가 좋은
28167.0,프라이빗룸이 있는
28167.0,발레 파킹
26017.0,결혼기념일에 가면 좋은
26017.0,비즈니스 다이닝에 좋은
26017.0,프러포즈 하기 좋은
26017.0,스타 셰프가 운영하는
26017.0,와인 리스트가 좋은
26017.0,인테리어가 좋은
26017.0,파인 다이닝을 할 수 있는
26017.0,분위기가 좋은
26017.0,모던/스타일리시
26017.0,발레 파킹
20038.0,결혼기념일에 가면 좋은
20038.0,비즈니스 다이닝에 좋은
20038.0,연인과 같이 가면 좋은
20038.0,프러포즈 하기 좋은
