restaurant_id,featureForExcel
20038.0,스타 셰프가 운영하는
20038.0,파인 다이닝을 할 수 있는
20038.0,가격대비 만족도가 높은
20038.0,분위기가 좋은
20038.0,발레 파킹
15931.0,가족과 외식하기 좋은
15931.0,결혼기념일에 가면 좋은
15931.0,비즈니스 다이닝에 좋은
15931.0,연인과 같이 가면 좋은
15931.0,프러포즈 하기 좋은
15931.0,스타 셰프가 운영하는
15931.0,인테리어가 좋은
15931.0,파인 다이닝을 할 수 있는
15931.0,가격대비 만족도가 높은
15931.0,분위기가 좋은
15931.0,모던/스타일리시
15931.0,프라이빗룸이 있는
15931.0,발레 파킹
4953.0,가족과 외식하기 좋은
4953.0,결혼기념일에 가면 좋은
4953.0,비즈니스 다이닝에 좋은
4953.0,연인과 같이 가면 좋은
4953.0,프러포즈 하기 좋은
4953.0,스타 셰프가 운영하는
4953.0,와인 리스트가 좋은
4953.0,인테리어가 좋은
4953.0,파인 다이닝을 할 수 있는
4953.0,가격대비 만족도가 높은
4953.0,분위기가 좋은
4953.0,프라이빗룸이 있는
4953.0,발레 파킹
4945.0,결혼기념일에 가면 좋은
4945.0,비즈니스 다이닝에 좋은
4945.0,상견례에 좋은
4945.0,연인과 같이 가면 좋은
4945.0,외국인 접대에 좋은
4945.0,야경이 좋은
4945.0,인테리어가 좋은
4945.0,전망이 좋은
4945.0,호텔 레스토랑
4945.0,연중무휴
4945.0,파인 다이닝을 할 수 있는
4945.0,분위기가 좋은
4945.0,모던/스타일리시
4945.0,전통주 리스트가 좋은
4945.0,프라이빗룸이 있는
4945.0,발레 파킹
4667.0,결혼기념일에 가면 좋은
4667.0,비즈니스 다이닝에 좋은
4667.0,외국인 접대에 좋은
4667.0,프러포즈 하기 좋은
4667.0,스타 셰프가 운영하는
4667.0,와인 리스트가 좋은
4667.0,인테리어가 좋은
4667.0,파인 다이닝을 할 수 있는
4667.0,분위기가 좋은
4667.0,모던/스타일리시
4667.0,프라이빗룸이 있는
4667.0,발레 파킹
4649.0,결혼기념일에 가면 좋은
4649.0,비즈니스 다이닝에 좋은
4649.0,사케 리스트가 좋은
4649.0,인테리어가 좋은
4649.0,전망이 좋은
4649.0,호텔 레스토랑
4649.0,아침을 먹을 수 있는
4649.0,연중무휴
4649.0,파인 다이닝을 할 수 있는
4649.0,분위기가 좋은
4649.0,일본풍
4649.0,프라이빗룸이 있는
4649.0,주차 가능
4649.0,카운터 석이 있는
3998.0,가족과 외식하기 좋은
3998.0,결혼기념일에 가면 좋은
3998.0,비즈니스 다이닝에 좋은
3998.0,연인과 같이 가면 좋은
3998.0,프러포즈 하기 좋은
3998.0,스타 셰프가 운영하는
3998.0,인테리어가 좋은
3998.0,테라스가 있는
3998.0,파인 다이닝을 할 수 있는
3998.0,가격대비 만족도가 높은
3998.0,분위기가 좋은
3998.0,발레 파킹
1534.0,가족과 외식하기 좋은
1534.0,비즈니스 다이닝에 좋은
1534.0,연인과 같이 가면 좋은
1534.0,외국인 접대에 좋은
1534.0,정원이나 산책로가 있는
1534.0,호텔 레스토랑
1534.0,연중무휴
1534.0,파인 다이닝을 할 수 있는
1534.0,분위기가 좋은
1534.0,전통 한옥 재현
1534.0,프라이빗룸이 있는
1534.0,주차 가능
1534.0,코카-콜라 레드리본 맛집
1521.0,결혼기념일에 가면 좋은
1521.0,비즈니스 다이닝에 좋은
1521.0,상견례에 좋은
1521.0,연인과 같이 가면 좋은
1521.0,스타 셰프가 운영하는
1521.0,야경이 좋은
1521.0,인테리어가 좋은
1521.0,전망이 좋은
1521.0,호텔 레스토랑
1521.0,연중무휴
1521.0,파인 다이닝을 할 수 있는
1521.0,분위기가 좋은
1521.0,모던/스타일리시
1521.0,프라이빗룸이 있는
1521.0,발레 파킹
909.0,결혼기념일에 가면 좋은
909.0,비즈니스 다이닝에 좋은
909.0,상견례에 좋은
909.0,역사가 오래된
909.0,인테리어가 좋은
909.0,전망이 좋은
909.0,호텔 레스토랑
909.0,연중무휴
909.0,파인 다이닝을 할 수 있는
909.0,분위기가 좋은
909.0,모던/스타일리시
909.0,프라이빗룸이 있는
909.0,주차 가능
909.0,코카-콜라 레드리본 맛집
571.0,결혼기념일에 가면 좋은
571.0,비즈니스 다이닝에 좋은
571.0,역사가 오래된
571.0,사케 리스트가 좋은
571.0,스타 셰프가 운영하는
571.0,인테리어가 좋은
571.0,현지인 셰프가 있는
571.0,호텔 레스토랑
571.0,연중무휴
571.0,파인 다이닝을 할 수 있는
571.0,분위기가 좋은
571.0,모던/스타일리시
571.0,프라이빗룸이 있는
571.0,주차 가능
571.0,카운터 석이 있는
472.0,가족과 외식하기 좋은
472.0,비즈니스 다이닝에 좋은
472.0,상견례에 좋은
472.0,역사가 오래된
472.0,외국인 접대에 좋은
472.0,인테리어가 좋은
472.0,정원이나 산책로가 있는
472.0,테라스가 있는
472.0,연중무휴
472.0,모던/스타일리시
472.0,프라이빗룸이 있는
472.0,스몰웨딩을 할 수 있는
472.0,발레 파킹
472.0,코카-콜라 레드리본 맛집
415.0,가족과 외식하기 좋은
415.0,결혼기념일에 가면 좋은
415.0,비즈니스 다이닝에 좋은
415.0,상견례에 좋은
415.0,연인과 같이 가면 좋은
415.0,외국인 접대에 좋은
415.0,인테리어가 좋은
415.0,정원이나 산책로가 있는
415.0,비건 메뉴가 있는
415.0,호텔 레스토랑
415.0,파인 다이닝을 할 수 있는
415.0,분위기가 좋은
415.0,전통 한옥 재현
415.0,전통주 리스트가 좋은
415.0,프라이빗룸이 있는
415.0,주차 가능
343.0,가족과 외식하기 좋은
343.0,결혼기념일에 가면 좋은
343.0,비즈니스 다이닝에 좋은
343.0,연인과 같이 가면 좋은
343.0,프러포즈 하기 좋은
343.0,와인 리스트가 좋은
343.0,인테리어가 좋은
343.0,테라스가 있는
343.0,파인 다이닝을 할 수 있는
343.0,가격대비 만족도가 높은
343.0,분위기가 좋은
343.0,모던/스타일리시
343.0,프라이빗룸이 있는
343.0,발레 파킹
254.0,결혼기념일에 가면 좋은
254.0,비즈니스 다이닝에 좋은
254.0,연인과 같이 가면 좋은
254.0,프러포즈 하기 좋은
254.0,스타 셰프가 운영하는
254.0,파인 다이닝을 할 수 있는
254.0,분위기가 좋은
254.0,모던/스타일리시
254.0,프라이빗룸이 있는
254.0,발레 파킹
198.0,결혼기념일에 가면 좋은
198.0,비즈니스 다이닝에 좋은
198.0,상견례에 좋은
198.0,역사가 오래된
198.0,연인과 같이 가면 좋은
198.0,인테리어가 좋은
198.0,전망이 좋은
198.0,호텔 레스토랑
198.0,연중무휴
198.0,파인 다이닝을 할 수 있는
198.0,분위기가 좋은
198.0,모던/스타일리시
198.0,프라이빗룸이 있는
198.0,주차 가능
27424.0,연인과 같이 가면 좋은
27424.0,술 한잔하기 좋은
27424.0,가격대비 만족도가 높은
27424.0,프라이빗룸이 있는
27424.0,주차 가능
27424.0,코카-콜라 레드리본 맛집
9309.0,가족과 외식하기 좋은
9309.0,연인과 같이 가면 좋은
9309.0,인테리어가 좋은
9309.0,전망이 좋은
9309.0,점심 뷔페를 하는
9309.0,호텔 레스토랑
9309.0,아침을 먹을 수 있는
9309.0,연중무휴
9309.0,아침 뷔페를 하는
9309.0,모던/스타일리시
9309.0,주차 가능
32924.0,연인과 같이 가면 좋은
32924.0,술 한잔하기 좋은
32924.0,저녁에만 영업하는
32924.0,가격대비 만족도가 높은
32924.0,발레 파킹
32924.0,카운터 석이 있는
35272.0,술 한잔하기 좋은
35272.0,인테리어가 좋은
35272.0,모던/스타일리시
35272.0,발레 파킹
4523.0,가족과 외식하기 좋은
4523.0,비즈니스 다이닝에 좋은
4523.0,외국인 접대에 좋은
4523.0,전통 한옥 리뉴얼
4523.0,주차 가능
4523.0,코카-콜라 레드리본 맛집
5924.0,연중무휴
5924.0,주차 가능
8977.0,역사가 오래된
8977.0,낮에만 영업하는
8977.0,아침을 먹을 수 있는
8977.0,주차 가능
,
2890.0,역사가 오래된
2890.0,아침을 먹을 수 있는
2890.0,연중무휴
2890.0,주차 가능
2059.0,아침을 먹을 수 있는
2059.0,연중무휴
2059.0,주차 가능
2048.0,가족과 외식하기 좋은
2048.0,역사가 오래된
2048.0,외국인 접대에 좋은
2048.0,아침을 먹을 수 있는
2048.0,연중무휴
2048.0,적산가옥 리뉴얼
2048.0,코카-콜라 레드리본 맛집
30139.0,결혼기념일에 가면 좋은
30139.0,비즈니스 다이닝에 좋은
30139.0,연인과 같이 가면 좋은
30139.0,프러포즈 하기 좋은
30139.0,공연이 있는
30139.0,인테리어가 좋은
30139.0,연중무휴
30139.0,파인 다이닝을 할 수 있는
30139.0,분위기가 좋은
30139.0,빈티지/앤티크
30139.0,주차 가능
30139.0,클래식
5469.0,아침을 먹을 수 있는
5469.0,주차 가능
5468.0,역사가 오래된
5468.0,아침을 먹을 수 있는
5468.0,주차 가능
5428.0,가족과 외식하기 좋은
5428.0,전망이 좋은
5428.0,정원이나 산책로가 있는
5428.0,주차 가능
3378.0,가족과 외식하기 좋은
3378.0,아침을 먹을 수 있는
3378.0,연중무휴
3378.0,주차 가능
2705.0,전망이 좋은
2705.0,연중무휴
2705.0,주차 가능
6352.0,가족과 외식하기 좋은
6352.0,주차 가능
32591.0,현지인 셰프가 있는
28169.0,가족과 외식하기 좋은
28169.0,결혼기념일에 가면 좋은
28169.0,비즈니스 다이닝에 좋은
28169.0,소개팅하기 좋은
28169.0,연인과 같이 가면 좋은
28169.0,프러포즈 하기 좋은
28169.0,스타 셰프가 운영하는
28169.0,와인 리스트가 좋은
28169.0,인테리어가 좋은
28169.0,테라스가 있는
28169.0,호텔 레스토랑
28169.0,파인 다이닝을 할 수 있는
28169.0,분위기가 좋은
28169.0,모던/스타일리시
28169.0,발레 파킹
28169.0,바다가 보이는
31849.0,가족과 외식하기 좋은
31849.0,결혼기념일에 가면 좋은
31849.0,연인과 같이 가면 좋은
31849.0,프러포즈 하기 좋은
31849.0,정원이나 산책로가 있는
31849.0,테라스가 있는
31849.0,파인 다이닝을 할 수 있는
31849.0,분위기가 좋은
31849.0,주차 가능
1709.0,역사가 오래된
1709.0,연중무휴
1709.0,주차 가능
1691.0,가족과 외식하기 좋은
1691.0,역사가 오래된
1691.0,주차 가능
2191.0,가족과 외식하기 좋은
2191.0,역사가 오래된
2191.0,아침을 먹을 수 있는
2191.0,주차 가능
2089.0,가족과 외식하기 좋은
2089.0,역사가 오래된
2089.0,주차 가능
1973.0,가족과 외식하기 좋은
1973.0,역사가 오래된
1973.0,연인과 같이 가면 좋은
1973.0,주차 가능
1972.0,가족과 외식하기 좋은
1972.0,연인과 같이 가면 좋은
1972.0,주차 가능
1684.0,정원이나 산책로가 있는
1684.0,낮에만 영업하는
1684.0,연중무휴
1684.0,전통 한옥 리뉴얼
1684.0,주차 가능
1682.0,가족과 외식하기 좋은
1670.0,가족과 외식하기 좋은
1670.0,역사가 오래된
1670.0,주차 가능
1640.0,가족과 외식하기 좋은
1640.0,정원이나 산책로가 있는
1640.0,테라스가 있는
1640.0,주차 가능
1631.0,가족과 외식하기 좋은
1631.0,주차 가능
2984.0,역사가 오래된
2984.0,낮에만 영업하는
2984.0,주차 가능
2980.0,가족과 외식하기 좋은
2980.0,비즈니스 다이닝에 좋은
2980.0,상견례에 좋은
2980.0,외국인 접대에 좋은
2980.0,주차 가능
4081.0,가족과 외식하기 좋은
4081.0,비즈니스 다이닝에 좋은
4081.0,상견례에 좋은
4081.0,인테리어가 좋은
4081.0,전망이 좋은
4081.0,호텔 레스토랑
4081.0,연중무휴
4081.0,파인 다이닝을 할 수 있는
4081.0,분위기가 좋은
4081.0,프라이빗룸이 있는
4081.0,주차 가능
4983.0,역사가 오래된
4983.0,저녁에만 영업하는
5503.0,가족과 외식하기 좋은
5503.0,전망이 좋은
5503.0,테라스가 있는
5503.0,24시간 영업하는
5503.0,아침을 먹을 수 있는
5503.0,연중무휴
5503.0,주차 가능
5503.0,바다가 보이는
28567.0,주차 가능
29385.0,결혼기념일에 가면 좋은
29385.0,비즈니스 다이닝에 좋은
29385.0,상견례에 좋은
29385.0,연인과 같이 가면 좋은
29385.0,인테리어가 좋은
29385.0,전망이 좋은
29385.0,정원이나 산책로가 있는
29385.0,해외 유명 브랜드
29385.0,현지인 셰프가 있는
29385.0,호텔 레스토랑
29385.0,연중무휴
29385.0,파인 다이닝을 할 수 있는
29385.0,분위기가 좋은
29385.0,중국풍
29385.0,프라이빗룸이 있는
29385.0,주차 가능
31236.0,가족과 외식하기 좋은
31236.0,연중무휴
31236.0,주차 가능
31023.0,결혼기념일에 가면 좋은
31023.0,비즈니스 다이닝에 좋은
31023.0,연인과 같이 가면 좋은
31023.0,인테리어가 좋은
31023.0,전망이 좋은
31023.0,호텔 레스토랑
31023.0,연중무휴
31023.0,파인 다이닝을 할 수 있는
31023.0,분위기가 좋은
31023.0,중국풍
31023.0,주차 가능
31023.0,바다가 보이는
31667.0,주차 가능
32587.0,결혼기념일에 가면 좋은
32587.0,비즈니스 다이닝에 좋은
32587.0,인테리어가 좋은
32587.0,전망이 좋은
32587.0,호텔 레스토랑
32587.0,연중무휴
32587.0,파인 다이닝을 할 수 있는
32587.0,분위기가 좋은
32587.0,프라이빗룸이 있는
32587.0,주차 가능
32587.0,바다가 보이는
32463.0,결혼기념일에 가면 좋은
32463.0,비즈니스 다이닝에 좋은
32463.0,연인과 같이 가면 좋은
32463.0,프러포즈 하기 좋은
32463.0,스타 셰프가 운영하는
32463.0,인테리어가 좋은
32463.0,전망이 좋은
32463.0,파인 다이닝을 할 수 있는
32463.0,분위기가 좋은
32463.0,모던/스타일리시
32463.0,프라이빗룸이 있는
32463.0,주차 가능
32463.0,바다가 보이는
32449.0,연중무휴
32449.0,주차 가능
32621.0,주차 가능
41.0,인테리어가 좋은
41.0,정원이나 산책로가 있는
41.0,테라스가 있는
41.0,분위기가 좋은
41.0,전통 한옥 리뉴얼
41.0,삼성생명 인생카페
2605.0,인테리어가 좋은
2605.0,전망이 좋은
2605.0,정원이나 산책로가 있는
2605.0,테라스가 있는
2605.0,연중무휴
2605.0,분위기가 좋은
2605.0,모던/스타일리시
2605.0,주차 가능
2605.0,삼성생명 인생카페
1634.0,스타 셰프가 운영하는
1634.0,테라스가 있는
1634.0,주차 가능
1634.0,바다가 보이는
1634.0,삼성생명 인생카페
4747.0,인테리어가 좋은
4747.0,전통 한옥 리뉴얼
4747.0,삼성생명 인생카페
6964.0,삼성생명 인생카페
22714.0,연중무휴
22714.0,주차 가능
22714.0,삼성생명 인생카페
22712.0,삼성생명 인생카페
16004.0,인테리어가 좋은
16004.0,정원이나 산책로가 있는
16004.0,테라스가 있는
16004.0,적산가옥 리뉴얼
16004.0,주차 가능
16004.0,삼성생명 인생카페
14944.0,야경이 좋은
14944.0,인테리어가 좋은
14944.0,전망이 좋은
14944.0,연중무휴
14944.0,분위기가 좋은
14944.0,주차 가능
14944.0,바다가 보이는
14944.0,삼성생명 인생카페
28190.0,연중무휴
28190.0,삼성생명 인생카페
27255.0,테라스가 있는
27255.0,레트로풍
27255.0,삼성생명 인생카페
27113.0,삼성생명 인생카페
26729.0,전망이 좋은
26729.0,삼성생명 인생카페
29365.0,정원이나 산책로가 있는
29365.0,테라스가 있는
29365.0,모던/스타일리시
29365.0,주차 가능
29365.0,삼성생명 인생카페
28387.0,인테리어가 좋은
28387.0,연중무휴
28387.0,삼성생명 인생카페
32130.0,인테리어가 좋은
32130.0,연중무휴
32130.0,모던/스타일리시
32130.0,삼성생명 인생카페
6784.0,가족과 외식하기 좋은
6784.0,주차 가능
6854.0,가족과 외식하기 좋은
6854.0,비즈니스 다이닝에 좋은
6854.0,연인과 같이 가면 좋은
6854.0,외국인 접대에 좋은
6854.0,인테리어가 좋은
6854.0,정원이나 산책로가 있는
6854.0,테라스가 있는
6854.0,모던/스타일리시
6854.0,주차 가능
7100.0,가족과 외식하기 좋은
7100.0,연인과 같이 가면 좋은
7100.0,주차 가능
29204.0,모던/스타일리시
25575.0,스타 셰프가 운영하는
25575.0,발레 파킹
31839.0,저녁에만 영업하는
31839.0,카운터 석이 있는
29227.0,가족과 외식하기 좋은
29227.0,연인과 같이 가면 좋은
29227.0,회식하기 좋은
29227.0,연중무휴
29227.0,가격대비 만족도가 높은
29227.0,코카-콜라 레드리본 맛집
30105.0,결혼기념일에 가면 좋은
30105.0,비즈니스 다이닝에 좋은
30105.0,프러포즈 하기 좋은
30105.0,와인 리스트가 좋은
30105.0,인테리어가 좋은
30105.0,현지인 셰프가 있는
30105.0,저녁에만 영업하는
30105.0,파인 다이닝을 할 수 있는
30105.0,분위기가 좋은
30105.0,모던/스타일리시
30105.0,발레 파킹
30254.0,스타 셰프가 운영하는
31240.0,가족과 외식하기 좋은
31240.0,스타 셰프가 운영하는
31240.0,인테리어가 좋은
31240.0,전망이 좋은
31240.0,연중무휴
31240.0,코카-콜라 레드리본 맛집
8921.0,역사가 오래된
8921.0,아침을 먹을 수 있는
8921.0,가격대비 만족도가 높은
8921.0,주차 가능
3199.0,결혼기념일에 가면 좋은
3199.0,비즈니스 다이닝에 좋은
3199.0,사케 리스트가 좋은
3199.0,인테리어가 좋은
3199.0,전망이 좋은
3199.0,호텔 레스토랑
3199.0,연중무휴
3199.0,파인 다이닝을 할 수 있는
3199.0,분위기가 좋은
3199.0,모던/스타일리시
3199.0,프라이빗룸이 있는
3199.0,주차 가능
3199.0,카운터 석이 있는
2568.0,가족과 외식하기 좋은
2568.0,아침을 먹을 수 있는
3239.0,가족과 외식하기 좋은
3239.0,테라스가 있는
3239.0,가격대비 만족도가 높은
3239.0,토속적 분위기
3239.0,주차 가능
2560.0,역사가 오래된
2560.0,낮에만 영업하는
2560.0,아침을 먹을 수 있는
2560.0,연중무휴
2560.0,가격대비 만족도가 높은
2511.0,가족과 외식하기 좋은
2511.0,비즈니스 다이닝에 좋은
2511.0,정원이나 산책로가 있는
2511.0,연중무휴
2511.0,프라이빗룸이 있는
2511.0,주차 가능
2499.0,가족과 외식하기 좋은
2499.0,역사가 오래된
2499.0,아침을 먹을 수 있는
2499.0,주차 가능
2412.0,전망이 좋은
2412.0,연중무휴
2412.0,주차 가능
2412.0,바다가 보이는
2411.0,주차 가능
2395.0,가족과 외식하기 좋은
2395.0,역사가 오래된
2395.0,아침을 먹을 수 있는
2395.0,가격대비 만족도가 높은
2395.0,주차 가능
2389.0,연중무휴
2389.0,주차 가능
12445.0,가족과 외식하기 좋은
12445.0,아침을 먹을 수 있는
12445.0,주차 가능
12457.0,비즈니스 다이닝에 좋은
